key,value
ui.menu.start,Start
ui.menu.settings,Settings
ui.menu.new_run,New Run
ui.menu.continue,Continue
ui.menu.quit,Quit
ui.menu.confirm_overwrite.title,Overwrite Save
ui.menu.confirm_overwrite.body,Existing autosave detected. Start a new run?
ui.menu.confirm,Overwrite
ui.menu.cancel,Cancel
ui.menu.continue_blocked.title,Continue Blocked
ui.menu.continue_blocked.new_run,Start New Run
ui.menu.continue_blocked.cancel,Cancel
ui.menu.continue_blocked.return_to_menu,Return to Menu
ui.run.summary.title,Run Summary
ui.settings.language,Language
ui.player.greeting,Welcome {name}!
ui.difficulty.title,Select Difficulty
ui.difficulty.label,Difficulty
ui.difficulty.select,Select
ui.difficulty.confirm,Confirm Difficulty
ui.difficulty.1,Difficulty 1
ui.difficulty.2,Difficulty 2
ui.difficulty.3,Difficulty 3
ui.difficulty.4,Difficulty 4
ui.difficulty.5,Difficulty 5
ui.difficulty.6,Difficulty 6
ui.difficulty.7,Difficulty 7
ui.difficulty.8,Difficulty 8
ui.difficulty.9,Difficulty 9
ui.difficulty.10,Difficulty 10
ui.difficulty.1.desc,Challenge level 1 of 10 with light pressure.
ui.difficulty.2.desc,Challenge level 2 of 10 with modest pressure.
ui.difficulty.3.desc,Challenge level 3 of 10 with steady pressure.
ui.difficulty.4.desc,Challenge level 4 of 10 with rising pressure.
ui.difficulty.5.desc,Challenge level 5 of 10 with balanced pressure.
ui.difficulty.6.desc,Challenge level 6 of 10 with notable pressure.
ui.difficulty.7.desc,Challenge level 7 of 10 with strong pressure.
ui.difficulty.8.desc,Challenge level 8 of 10 with severe pressure.
ui.difficulty.9.desc,Challenge level 9 of 10 with intense pressure.
ui.difficulty.10.desc,Challenge level 10 of 10 with maximum pressure.
ui.character.select.title,Character Select
ui.character.warrior,Warrior
ui.character.mage,Mage
ui.character.rogue,Rogue
ui.character.selected,selected
ui.character.not_open,not open
ui.character.warrior.summary.rage_buff,Rage acts as a combat state buff that grows pressure over time.
ui.character.warrior.summary.power_window,Heavy attack has a short power window where timing matters most.
ui.character.warrior.summary.cost_burst,Rage drain is a cost that enables explosive burst damage.
combat.feedback.accepted,Command '{0}' accepted.
combat.feedback.refused,Command '{0}' refused.
combat.feedback.refusal_reason.insufficient_energy,insufficient energy
combat.feedback.refusal_reason.invalid_action,invalid action
combat.feedback.refusal_reason.invalid_target,invalid target
event.abyss_toll.title,Abyss Toll
event.abyss_toll.description,Pay now and leave with a mark.
event.option.lose_hp,Bleed for speed
event.option.take_curse,Take a curse card
event.preview.hp_loss,HP -3
event.preview.take_curse,Cards +1 (Curse)
event.feedback.chosen_option,Chosen option: {0}
event.feedback.summary.lose_hp,Lost 3 HP to push forward.
event.feedback.summary.take_curse,Took a curse card to continue.
event.feedback.summary.default,Choice committed.
event.feedback.numeric.hp_loss,HP -3\nCurse cards +0
event.feedback.numeric.take_curse,HP +0\nCurse cards +1
event.feedback.numeric.default,HP 0\nCurse cards 0
event.feedback.blocked.already_committed,Choice is already committed.
event.feedback.blocked.invalid_option,Option is unavailable.
event.feedback.blocked.persist_failed,Persist failed.
card.warrior.cleave.name,Cleave
card.warrior.guard.name,Guard
card.warrior.rage_surge.name,Rage Surge
card.warrior.bloodrush.name,Bloodrush
card.warrior.taunt.name,Taunt
card.warrior.shield_wall.name,Shield Wall
card.warrior.overpower.name,Overpower
card.warrior.battlecry.name,Battlecry
card.warrior.crush.name,Crush
card.warrior.relentless.name,Relentless
intent.enemy.slash,Slash
relic.name.ashen_hourglass,Ashen Hourglass
relic.name.obsidian_mirror,Obsidian Mirror
